Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K)
HFPO-DAF,11.577,0.2409,-0.00023634,1.0721e-07,-1.8354e-11,0.0,144.76
HFPO-DAlac,9.2867,0.23195,-0.00022741,1.0314e-07,-1.7657e-11,0.0,138.47
HFPO-DAester,9.7623,0.20242,-0.00019772,8.9387e-08,-1.5263e-11,0.0,131.11
HFPO-DAest_OH,9.5262,0.23254,-0.00023163,1.066e-07,-1.8458e-11,0.0,136.34
HFPO-DAF_OH,11.034,0.27026,-0.00026829,1.231e-07,-2.1267e-11,0.0,148.82
E1,8.5402,0.21078,-0.00020132,8.9656e-08,-1.5142e-11,0.0,130.72
E1_minusH,9.656,0.20642,-0.00020377,9.2694e-08,-1.5887e-11,0.0,134.41
1Hbutane,7.3837,0.15771,-0.00014929,6.615e-08,-1.1138e-11,0.0,108.5
1Hdecane,17.974,0.38707,-0.00037737,1.7058e-07,-2.9135e-11,0.0,193.25
1Hdodecane,21.372,0.46396,-0.00045395,2.0568e-07,-3.519e-11,0.0,220.31
1Hethane,4.1218,0.080399,-7.2144e-05,3.0713e-08,-5.0126e-12,0.0,79.742
1Hheptane,12.771,0.27204,-0.00026288,1.1812e-07,-2.0089e-11,0.0,150.76
1Hhexane,10.97,0.23395,-0.00022503,1.008e-07,-1.7106e-11,0.0,136.86
1Hmethane,2.8523,0.040222,-3.1453e-05,1.1785e-08,-1.7078e-12,0.0,62.105
1Hnonane,16.009,0.34947,-0.00034012,1.5358e-07,-2.6212e-11,0.0,178.23
1Hoctane,14.242,0.3113,-0.0003022,1.3623e-07,-2.3223e-11,0.0,164.19
1Hpentane,9.3716,0.19518,-0.00018634,8.3041e-08,-1.4038e-11,0.0,123.17
1Hpropane,5.93,0.11846,-0.00010999,4.806e-08,-8.0068e-12,0.0,95.578
1Hundecane,19.677,0.42541,-0.00041548,1.8802e-07,-3.214e-11,0.0,206.63
2_butene,7.1603,0.14015,-0.00013764,6.256e-08,-1.0733e-11,0.0,106.06
22fts,5.8068,0.1848,-0.00016314,6.9834e-08,-1.154e-11,0.0,116.65
22ftsa,4.8978,0.19245,-0.00016763,7.1358e-08,-1.1768e-11,0.0,117.55
22ftoh,5.3206,0.13602,-0.00010839,4.2523e-08,-6.5343e-12,0.0,100.02
22rh,3.92,0.12557,-9.8047e-05,3.7932e-08,-5.782e-12,0.0,92.759
23ftca,3.8371,0.16677,-0.00013893,5.6652e-08,-9.0007e-12,0.0,110.95
32fts,7.3234,0.22377,-0.00020204,8.7692e-08,-1.4624e-11,0.0,132.06
32ftsa,6.5237,0.23119,-0.0002063,8.9114e-08,-1.4835e-11,0.0,132.86
32ftoh,7.1538,0.17364,-0.00014538,5.9317e-08,-9.4119e-12,0.0,118.37
32rh,5.7499,0.1636,-0.00013583,5.521e-08,-8.7559e-12,0.0,108.8
33ftca,5.6588,0.20479,-0.00017668,7.3899e-08,-1.1968e-11,0.0,127.08
42fts,8.9874,0.2623,-0.0002404,1.0528e-07,-1.7657e-11,0.0,145.44
42ftsa,8.2187,0.26951,-0.00024435,1.0652e-07,-1.7831e-11,0.0,146.03
42ftoh,8.7226,0.21248,-0.00018413,7.7108e-08,-1.2484e-11,0.0,128.55
42rh,7.3155,0.20246,-0.0001746,7.3015e-08,-1.1831e-11,0.0,121.66
43fta,7.2844,0.24349,-0.00021528,9.162e-08,-1.5028e-11,0.0,140.15
52fts,10.63,0.30094,-0.00027894,1.2296e-07,-2.0711e-11,0.0,158.75
52ftoh,10.612,0.25027,-0.00022159,9.4216e-08,-1.5427e-11,0.0,143.17
52rh,9.1028,0.24061,-0.00021253,9.0373e-08,-1.4822e-11,0.0,135.87
53ftca,8.896,0.28228,-0.00025402,1.0942e-07,-1.8104e-11,0.0,153.89
62fts,12.421,0.33914,-0.00031695,1.4037e-07,-2.3712e-11,0.0,173.15
62ftsa,11.639,0.34648,-0.00032111,1.4174e-07,-2.3911e-11,0.0,173.91
62ftab,7.1203,0.5285,-0.00042106,1.656e-07,-2.5582e-11,0.0,224.93
62ftoh,12.145,0.2893,-0.00026063,1.1217e-07,-1.8532e-11,0.0,156.24
62rh,10.821,0.279,-0.00025075,1.0789e-07,-1.7842e-11,0.0,149.64
fbsa,11.233,0.22125,-0.00021906,1.0109e-07,-1.7593e-11,0.0,131.19
fetsa,7.802,0.14442,-0.00014251,6.5988e-08,-1.1535e-11,0.0,104.17
fhpsa,16.036,0.33743,-0.00033486,1.5421e-07,-2.676e-11,0.0,172.27
fpesa,12.675,0.26039,-0.00025808,1.19e-07,-2.0683e-11,0.0,144.22
fprsa,9.4579,0.18306,-0.00018108,8.3705e-08,-1.4597e-11,0.0,117.13
nmefosaa,11.743,0.27613,-0.00025754,1.1408e-07,-1.9287e-11,0.0,153.14
